# ApertureRA_1 ApertureDec_1 Magnitude_1 Bmag               ApertureRA_2 ApertureDec_2 Magnitude_2 imag               Separation           
  114.472173   21.683564     -10.3659    13.608293960327149 114.472082   21.683411     -13.7656    12.893399795532225 0.629326148567457    
  114.464677   21.683286     -7.1989     16.77529377722168  114.464578   21.683296     -10.9962    15.662800392150878 0.33313215074881064  
  114.438264   21.6817       -9.9565     14.017693946594239 114.438148   21.681664     -14.2955    12.363500198364257 0.409124585222369    
  114.771442   21.684669     -8.737      15.237193534606934 114.77146    21.68482      -11.9239    14.735100349426268 0.5469247718052354   
  114.737347   21.682331     -8.6931     15.281094024414063 114.737133   21.682495     -11.9007    14.758300384521483 0.9279398027872001   
  114.620176   21.680493     -9.0547     14.919494102233887 114.620017   21.680653     -13.3405    13.318500122070311 0.7840288798461739   
  114.444347   21.676908     -7.1985     16.775693843597413 114.444234   21.676876     -10.4438    16.21520002746582  0.3951949562904684   
  114.610454   21.678624     -7.9722     16.0019940831604   114.610285   21.678777     -11.8025    14.856500228881835 0.7893170707943341   
  114.441172   21.676167     -7.4861     16.48809380316162  114.44106    21.675955     -11.1911    15.467899879455565 0.850215101344455    
  114.507013   21.674633     -7.8433     16.130894134277344 114.506754   21.674689     -11.193     15.466000160217284 0.8896193062234933   
  114.419106   21.672723     -9.0782     14.895993659729005 114.418977   21.672642     -11.9767    14.682300170898436 0.5208493787747857   
  114.591397   21.674192     -7.3332     16.640994022125245 114.5914     21.674157     -10.8104    15.848599990844725 0.12639908995780216  
  114.65144    21.671486     -8.1595     15.814693877929688 114.651313   21.671647     -11.4111    15.247899612426757 0.718652862592878    
  114.50994    21.667703     -7.1156     16.85859389089966  114.509873   21.667584     -10.5876    16.071400245666503 0.4835007420151422   
  114.547078   21.666809     -7.2247     16.749494025939942 114.547041   21.66673      -10.6535    16.005500396728515 0.3101726567793218   
  114.488231   21.665318     -8.9048     15.069393584960938 114.488144   21.665341     -12.4242    14.2347999420166   0.30262206342679915  
  114.667809   21.667687     -8.383      15.591193626159669 114.66789    21.667675     -11.6557    15.003300270080565 0.274417530371419    
  114.524979   21.665293     -8.6669     15.307294318908692 114.525108   21.665366     -12.6726    13.98640020751953  0.5053081737303042   
  114.544121   21.664156     -9.7778     14.196394393676758 114.54389    21.664243     -13.2514    13.407600006103515 0.8339092807190586   
  114.47496    21.662871     -8.843      15.131193588012696 114.474864   21.662873     -12.1034    14.555599769592284 0.32127164390252133  
  114.541698   21.663252     -8.1858     15.788394401306153 114.541468   21.663161     -11.4864    15.172600349426268 0.8363492309825977   
  114.531994   21.660509     -8.9345     15.039694259399415 114.53194    21.660581     -12.4467    14.212299903869628 0.3159546013514467   
  114.530684   21.660317     -8.9429     15.031294296020508 114.530445   21.660211     -12.43      14.228999694824218 0.8860318562163203   
  114.571546   21.660861     -8.1326     15.84159416937256  114.571527   21.660972     -11.7952    14.863799652099608 0.4046248791082646   
  114.73819    21.662643     -7.3145     16.659694144958497 114.738164   21.662789     -12.058     14.60100038909912  0.5327499415442655   
  114.422767   21.656226     -8.0884     15.88579411291504  114.422635   21.656307     -11.6842    14.974799713134765 0.5292373353217028   
  114.644546   21.656234     -8.4803     15.493894050354005 114.644598   21.65638      -11.7698    14.889199813842772 0.5536484535738153   
  114.629636   21.650465     -8.4748     15.49939389013672  114.629485   21.650598     -11.7039    14.95509966278076  0.6960796034425731   
  114.639947   21.650424     -8.0834     15.890794227355958 114.639809   21.650385     -11.3595    15.29950006866455  0.48262508173347474  
  114.754093   21.651681     -7.3963     16.577894160980225 114.754089   21.651635     -10.8025    15.856500228881835 0.16613997521362503  
  114.552441   21.648061     -9.061      14.913194129699708 114.552404   21.648141     -12.3666    14.292399963378905 0.31348314587174175  
  114.584864   21.648489     -8.2224     15.751794288391114 114.584859   21.648422     -11.4841    15.174899658203124 0.24177953837628643  
  114.578679   21.648408     -7.3769     16.59729380392456  114.578665   21.648511     -10.7634    15.895599922180175 0.37374736982513845  
  114.503597   21.64305      -7.5853     16.38889403128052  114.503707   21.643073     -11.901     14.757999977111815 0.3772798280547439   
  114.773494   21.644944     -9.037      14.937194297546387 114.773515   21.645055     -11.8764    14.782600006103515 0.40573134426360946  
  114.618722   21.640912     -7.5641     16.41009421133423  114.618562   21.640856     -10.9323    15.726700386047362 0.5720974771536709   
  114.612364   21.639959     -10.6805    13.293693969482423 114.612382   21.640075     -14.9649    11.694099983215331 0.42192150350447655  
  114.621924   21.639908     -7.3672     16.606994102233887 114.621952   21.640029     -10.8443    15.814699729919433 0.4455628107253956   
  114.758588   21.638485     -9.0725     14.901693771118165 114.758779   21.638427     -12.5243    14.134700378417968 0.672385935043741    
  114.440977   21.632786     -9.0561     14.918094108337403 114.441231   21.632705     -12.7455    13.91350038909912  0.8986224066382076   
  114.564477   21.633756     -10.4593    13.51489395880127  114.564453   21.633658     -14.6785    11.980499824523925 0.36182616360547615  
  114.557728   21.633841     -8.0287     15.945494125122071 114.557885   21.63374      -11.3852    15.273800453186034 0.6389337405764011   
  114.648065   21.634143     -8.8976     15.076593826049805 114.648123   21.634093     -12.1607    14.498300155639647 0.2647102570472611   
  114.784519   21.633743     -10.6422    13.331993530029298 114.784368   21.633835     -13.5969    13.062100013732909 0.6041771402216193   
  114.543161   21.630511     -8.1462     15.82799381994629  114.543119   21.630389     -12.4022    14.256800254821776 0.4611417075662623   
  114.575028   21.630234     -8.0132     15.960994193786622 114.575198   21.630319     -11.8851    14.77389963531494  0.645978213404255    
  114.613458   21.629689     -7.6809     16.29329390310669  114.613481   21.629621     -11.0489    15.610100349426268 0.2566152289416717   
  114.671928   21.630087     -7.927      16.047193954223633 114.672013   21.630038     -11.2154    15.443600257873534 0.33470907178656994  
  114.624899   21.629139     -8.4028     15.571394393676758 114.624934   21.629077     -11.6143    15.044700225830077 0.25206600079933983  
  114.527086   21.627857     -7.2691     16.705093810791016 114.52703    21.627715     -10.709     15.950000366210936 0.5444692794639097   
  114.525663   21.623133     -7.9429     16.03129381918335  114.525603   21.623159     -11.2582    15.400800308227538 0.22154329683981863  
  114.518361   21.622686     -8.9966     14.977593848937989 114.518483   21.622706     -12.3211    14.337899765014647 0.4145935250787037   
  114.568965   21.622486     -10.4607    13.513493964904786 114.568942   21.622555     -13.6462    13.012799819946288 0.26005284210228696  
  114.447372   21.620329     -7.379      16.595193813079835 114.447443   21.620243     -10.7433    15.915699562072753 0.3902745900696229   
  114.419268   21.619941     -7.5488     16.425394008392335 114.419322   21.619804     -11.192     15.466999610900878 0.5252687901051454   
  114.524228   21.619105     -8.6597     15.314493606323243 114.524355   21.619128     -11.8827    14.776300033569335 0.4330275137931432   
  114.784486   21.622409     -7.4351     16.539093921417237 114.784714   21.62232      -10.7677    15.891299804687499 0.8275808582277671   
