# ApertureRA_1 ApertureDec_1 Magnitude_1 Bmag               ApertureRA_2 ApertureDec_2 Magnitude_2 Vmag               Separation          
  114.603349   21.697488     -8.6387     18.246298468444824 114.603284   21.697439     -9.1908     17.531739286865236 0.27997997573192135 
  114.538462   21.695911     -12.9376    13.947397864196777 114.538401   21.695831     -13.2946    13.427939466918946 0.35295565474769375 
  114.614421   21.697112     -11.9759    14.909098303649902 114.614362   21.69707      -12.768     13.95453935095215  0.24861446329470013 
  114.638441   21.696032     -10.2592    16.62579790386963  114.638404   21.696006     -10.6923    16.03023915716553  0.1551723495349523  
  114.546005   21.693575     -8.5006     18.38439813885498  114.545942   21.693498     -9.0882     17.634339384521486 0.3482094307159849  
  114.605278   21.694027     -9.6277     17.257298148010253 114.605217   21.693979     -10.0767    16.645838789428712 0.26738476826503416 
  114.626284   21.693956     -10.268     16.616998350952148 114.626049   21.693919     -10.9203    15.802239469970704 0.7972846582065047  
  114.566269   21.693504     -8.6436     18.241397536132812 114.566201   21.693435     -9.194      17.528538755859376 0.3368107884098239  
  114.64935    21.693732     -9.4902     17.39479795727539  114.649327   21.693715     -9.9061     16.816438726867677 0.0983082692465141  
  114.597794   21.692882     -10.0165    16.86849752697754  114.59792    21.692658     -10.453     16.26953893133545  0.909902588968622   
  114.655744   21.69242      -9.3807     17.50429788861084  114.655731   21.692408     -9.827      16.89553933569336  0.061296375690997024
  114.481315   21.689879     -9.2726     17.612397826049804 114.48132    21.689612     -9.9797     16.742838911499025 0.961345507572421   
  114.46988    21.688844     -8.2161     18.668898260925292 114.469711   21.688921     -8.8089     17.913639120544435 0.6296312167775329  
  114.418255   21.688089     -8.4156     18.469398177001953 114.418385   21.687998     -9.1293     17.593238882507325 0.5444573467924123  
  114.587517   21.690304     -10.2644    16.62059847149658  114.587643   21.690074     -10.652     16.070538572753907 0.9291028617143691  
  114.586213   21.689764     -10.2643    16.620697653625488 114.586148   21.689705     -10.6522    16.07033925482178  0.3039583206818526  
  114.434986   21.687117     -12.2928    14.592198050354003 114.434886   21.687195     -12.6883    14.034238867248536 0.4367500835541351  
  114.706382   21.690443     -13.2681    13.616898215148925 114.706458   21.690477     -13.9198    12.802739195312501 0.2821584446664876  
  114.701318   21.690729     -8.8731     18.01189771923828  114.701571   21.690761     -9.3669     17.35563855596924  0.8541128931391337  
  114.422237   21.685884     -9.4502     17.434797919128417 114.422167   21.685963     -10.1909    16.531639151062013 0.3683968999874012  
  114.52322    21.686811     -11.2679    15.617097533081054 114.523176   21.686726     -12.3222    14.400339178527833 0.3395590417627819  
  114.414744   21.684727     -8.3811     18.503898299072265 114.414885   21.684636     -9.0434     17.679139189208986 0.5742836921327756  
  114.756806   21.68879      -10.4092    16.475798285339355 114.757014   21.688881     -10.7984    15.924139074768068 0.7690534868634715  
  114.500346   21.685445     -11.2022    15.682798064086914 114.500326   21.685354     -11.7435    14.979039244140626 0.3343620028604213  
  114.478396   21.684784     -11.6029    15.282098448608398 114.478406   21.684691     -12.062     14.660538725341798 0.33646708237252504 
  114.493969   21.68518      -7.6971     19.187897837493896 114.493957   21.685089     -9.0707     17.65183930822754  0.3300502900303375  
  114.472223   21.683476     -13.2738    13.611198103759765 114.472052   21.683553     -13.661     13.061538748229982 0.6356642234395262  
  114.702875   21.686737     -11.2139    15.671098387573242 114.702759   21.686766     -11.5724    15.150138906921388 0.4018401805189659  
  114.464527   21.683365     -10.1581    16.72689787182617  114.464561   21.683271     -10.6638    16.058738760437013 0.3570029689499181  
  114.737353   21.686637     -7.9804     18.90459791455078  114.737508   21.686706     -8.5533     18.169239096130372 0.5749338330824253  
  114.438272   21.68159      -12.869     14.015997565124511 114.438167   21.681667     -13.6857    13.03683858343506  0.44746089854093396 
  114.774821   21.686387     -9.4352     17.44979826245117  114.775088   21.686502     -9.8777     16.844839148010255 0.9844501078927159  
  114.685841   21.685304     -8.1145     18.770497954223632 114.685881   21.685319     -8.8303     17.89223866888428  0.14429406673500914 
  114.771285   21.684775     -11.6726    15.21239820751953  114.771541   21.684886     -11.9441    14.778438620056153 0.9450210323027788  
  114.442801   21.680262     -8.8708     18.014197981689453 114.442687   21.680339     -9.4018     17.320738844360353 0.47146740252659525 
  114.737225   21.682449     -11.6292    15.255798018310546 114.737383   21.682519     -11.9057    14.816839270080568 0.5855546582555332  
  114.554097   21.680266     -9.5352     17.349797880981445 114.554039   21.680192     -9.9975     16.725038580383302 0.3295700390888517  
  114.620111   21.680625     -11.982     14.902997649047851 114.620072   21.680413     -12.706     14.016538671936036 0.7742713358223701  
  114.694154   21.680699     -10.0555    16.82949796948242  114.694214   21.680723     -10.7842    15.938339285339357 0.21852524387152258 
  114.444361   21.676801     -10.0094    16.875597632263183 114.444246   21.676878     -10.3696    16.352938703979493 0.47418500520691265 
  114.47101    21.67736      -8.3969     18.488097822998046 114.471035   21.677266     -8.7292     17.99333863684082  0.34858197054189405 
  114.610389   21.678754     -10.9131    15.971897757385253 114.610344   21.678536     -11.4702    15.252339415039064 0.7991081722588373  
  114.440994   21.676055     -10.3486    16.536397612426757 114.441076   21.67596      -10.8808    15.841738752807618 0.4384273533786499  
  114.506902   21.674733     -10.7883    16.096698439453125 114.50688    21.674644     -11.1259    15.596638731445314 0.3287448155398393  
  114.509347   21.674419     -10.6417    16.24329820904541  114.509322   21.67433      -11.3052    15.417339376892091 0.3311363395356557  
  114.419084   21.672598     -11.9905    14.894497549865722 114.419028   21.672676     -12.1741    14.548439077819825 0.33756210815633714 
  114.591332   21.674144     -10.314     16.570997870300292 114.591466   21.674091     -10.6794    16.04313855596924  0.4872086031021359  
